el_x1,el_x2,el_xc,el_y1,el_y2,el_yc,el_z1,el_z2,el_zc
-0.0065225,-0.006615,-0.006615,0,0.0025,0,0,0,0
-0.0063125,-0.006405,-0.006405,0,0.0025,0,0,0,0
-0.0061025,-0.006195,-0.006195,0,0.0025,0,0,0,0
-0.0058925,-0.005985,-0.005985,0,0.0025,0,0,0,0
-0.0056825,-0.005775,-0.005775,0,0.0025,0,0,0,0
-0.0054725,-0.005565,-0.005565,0,0.0025,0,0,0,0
-0.0052625,-0.005355,-0.005355,0,0.0025,0,0,0,0
-0.0050525,-0.005145,-0.005145,0,0.0025,0,0,0,0
-0.0048425,-0.004935,-0.004935,0,0.0025,0,0,0,0
-0.0046325,-0.004725,-0.004725,0,0.0025,0,0,0,0
-0.0044225,-0.004515,-0.004515,0,0.0025,0,0,0,0
-0.0042125,-0.004305,-0.004305,0,0.0025,0,0,0,0
-0.0040025,-0.004095,-0.004095,0,0.0025,0,0,0,0
-0.0037925,-0.003885,-0.003885,0,0.0025,0,0,0,0
-0.0035825,-0.003675,-0.003675,0,0.0025,0,0,0,0
-0.0033725,-0.003465,-0.003465,0,0.0025,0,0,0,0
-0.0031625,-0.003255,-0.003255,0,0.0025,0,0,0,0
-0.0029525,-0.003045,-0.003045,0,0.0025,0,0,0,0
-0.0027425,-0.002835,-0.002835,0,0.0025,0,0,0,0
-0.0025325,-0.002625,-0.002625,0,0.0025,0,0,0,0
-0.0023225,-0.002415,-0.002415,0,0.0025,0,0,0,0
-0.0021125,-0.002205,-0.002205,0,0.0025,0,0,0,0
-0.0019025,-0.001995,-0.001995,0,0.0025,0,0,0,0
-0.0016925,-0.001785,-0.001785,0,0.0025,0,0,0,0
-0.0014825,-0.001575,-0.001575,0,0.0025,0,0,0,0
-0.0012725,-0.001365,-0.001365,0,0.0025,0,0,0,0
-0.0010625,-0.001155,-0.001155,0,0.0025,0,0,0,0
-0.0008525,-0.000945,-0.000945,0,0.0025,0,0,0,0
-0.0006425,-0.000735,-0.000735,0,0.0025,0,0,0,0
-0.0004325,-0.000525,-0.000525,0,0.0025,0,0,0,0
-0.0002225,-0.000315,-0.000315,0,0.0025,0,0,0,0
-1.25e-05,-0.000105,-0.000105,0,0.0025,0,0,0,0
0.0001975,0.000105,0.000105,0,0.0025,0,0,0,0
0.0004075,0.000315,0.000315,0,0.0025,0,0,0,0
0.0006175,0.000525,0.000525,0,0.0025,0,0,0,0
0.0008275,0.000735,0.000735,0,0.0025,0,0,0,0
0.0010375,0.000945,0.000945,0,0.0025,0,0,0,0
0.0012475,0.001155,0.001155,0,0.0025,0,0,0,0
0.0014575,0.001365,0.001365,0,0.0025,0,0,0,0
0.0016675,0.001575,0.001575,0,0.0025,0,0,0,0
0.0018775,0.001785,0.001785,0,0.0025,0,0,0,0
0.0020875,0.001995,0.001995,0,0.0025,0,0,0,0
0.0022975,0.002205,0.002205,0,0.0025,0,0,0,0
0.0025075,0.002415,0.002415,0,0.0025,0,0,0,0
0.0027175,0.002625,0.002625,0,0.0025,0,0,0,0
0.0029275,0.002835,0.002835,0,0.0025,0,0,0,0
0.0031375,0.003045,0.003045,0,0.0025,0,0,0,0
0.0033475,0.003255,0.003255,0,0.0025,0,0,0,0
0.0035575,0.003465,0.003465,0,0.0025,0,0,0,0
0.0037675,0.003675,0.003675,0,0.0025,0,0,0,0
0.0039775,0.003885,0.003885,0,0.0025,0,0,0,0
0.0041875,0.004095,0.004095,0,0.0025,0,0,0,0
0.0043975,0.004305,0.004305,0,0.0025,0,0,0,0
0.0046075,0.004515,0.004515,0,0.0025,0,0,0,0
0.0048175,0.004725,0.004725,0,0.0025,0,0,0,0
0.0050275,0.004935,0.004935,0,0.0025,0,0,0,0
0.0052375,0.005145,0.005145,0,0.0025,0,0,0,0
0.0054475,0.005355,0.005355,0,0.0025,0,0,0,0
0.0056575,0.005565,0.005565,0,0.0025,0,0,0,0
0.0058675,0.005775,0.005775,0,0.0025,0,0,0,0
0.0060775,0.005985,0.005985,0,0.0025,0,0,0,0
0.0062875,0.006195,0.006195,0,0.0025,0,0,0,0
0.0064975,0.006405,0.006405,0,0.0025,0,0,0,0
0.0067075,0.006615,0.006615,0,0.0025,0,0,0,0
