el_x1,el_x2,el_xc,el_y1,el_y2,el_yc,el_z1,el_z2,el_zc
-0.018925,-0.01905,-0.01905,0,0.005,0,0,0,0
-0.018625,-0.01875,-0.01875,0,0.005,0,0,0,0
-0.018325,-0.01845,-0.01845,0,0.005,0,0,0,0
-0.018025,-0.01815,-0.01815,0,0.005,0,0,0,0
-0.017725,-0.01785,-0.01785,0,0.005,0,0,0,0
-0.017425,-0.01755,-0.01755,0,0.005,0,0,0,0
-0.017125,-0.01725,-0.01725,0,0.005,0,0,0,0
-0.016825,-0.01695,-0.01695,0,0.005,0,0,0,0
-0.016525,-0.01665,-0.01665,0,0.005,0,0,0,0
-0.016225,-0.01635,-0.01635,0,0.005,0,0,0,0
-0.015925,-0.01605,-0.01605,0,0.005,0,0,0,0
-0.015625,-0.01575,-0.01575,0,0.005,0,0,0,0
-0.015325,-0.01545,-0.01545,0,0.005,0,0,0,0
-0.015025,-0.01515,-0.01515,0,0.005,0,0,0,0
-0.014725,-0.01485,-0.01485,0,0.005,0,0,0,0
-0.014425,-0.01455,-0.01455,0,0.005,0,0,0,0
-0.014125,-0.01425,-0.01425,0,0.005,0,0,0,0
-0.013825,-0.01395,-0.01395,0,0.005,0,0,0,0
-0.013525,-0.01365,-0.01365,0,0.005,0,0,0,0
-0.013225,-0.01335,-0.01335,0,0.005,0,0,0,0
-0.012925,-0.01305,-0.01305,0,0.005,0,0,0,0
-0.012625,-0.01275,-0.01275,0,0.005,0,0,0,0
-0.012325,-0.01245,-0.01245,0,0.005,0,0,0,0
-0.012025,-0.01215,-0.01215,0,0.005,0,0,0,0
-0.011725,-0.01185,-0.01185,0,0.005,0,0,0,0
-0.011425,-0.01155,-0.01155,0,0.005,0,0,0,0
-0.011125,-0.01125,-0.01125,0,0.005,0,0,0,0
-0.010825,-0.01095,-0.01095,0,0.005,0,0,0,0
-0.010525,-0.01065,-0.01065,0,0.005,0,0,0,0
-0.010225,-0.01035,-0.01035,0,0.005,0,0,0,0
-0.009925,-0.01005,-0.01005,0,0.005,0,0,0,0
-0.009625,-0.00975,-0.00975,0,0.005,0,0,0,0
-0.009325,-0.00945,-0.00945,0,0.005,0,0,0,0
-0.009025,-0.00915,-0.00915,0,0.005,0,0,0,0
-0.008725,-0.00885,-0.00885,0,0.005,0,0,0,0
-0.008425,-0.00855,-0.00855,0,0.005,0,0,0,0
-0.008125,-0.00825,-0.00825,0,0.005,0,0,0,0
-0.007825,-0.00795,-0.00795,0,0.005,0,0,0,0
-0.007525,-0.00765,-0.00765,0,0.005,0,0,0,0
-0.007225,-0.00735,-0.00735,0,0.005,0,0,0,0
-0.006925,-0.00705,-0.00705,0,0.005,0,0,0,0
-0.006625,-0.00675,-0.00675,0,0.005,0,0,0,0
-0.006325,-0.00645,-0.00645,0,0.005,0,0,0,0
-0.006025,-0.00615,-0.00615,0,0.005,0,0,0,0
-0.005725,-0.00585,-0.00585,0,0.005,0,0,0,0
-0.005425,-0.00555,-0.00555,0,0.005,0,0,0,0
-0.005125,-0.00525,-0.00525,0,0.005,0,0,0,0
-0.004825,-0.00495,-0.00495,0,0.005,0,0,0,0
-0.004525,-0.00465,-0.00465,0,0.005,0,0,0,0
-0.004225,-0.00435,-0.00435,0,0.005,0,0,0,0
-0.003925,-0.00405,-0.00405,0,0.005,0,0,0,0
