el_x1,el_x2,el_xc,el_y1,el_y2,el_yc,el_z1,el_z2,el_zc
-0.015575,-0.01575,-0.01575,0,0.0075,0,0,0,0
-0.015075,-0.01525,-0.01525,0,0.0075,0,0,0,0
-0.014575,-0.01475,-0.01475,0,0.0075,0,0,0,0
-0.014075,-0.01425,-0.01425,0,0.0075,0,0,0,0
-0.013575,-0.01375,-0.01375,0,0.0075,0,0,0,0
-0.013075,-0.01325,-0.01325,0,0.0075,0,0,0,0
-0.012575,-0.01275,-0.01275,0,0.0075,0,0,0,0
-0.012075,-0.01225,-0.01225,0,0.0075,0,0,0,0
-0.011575,-0.01175,-0.01175,0,0.0075,0,0,0,0
-0.011075,-0.01125,-0.01125,0,0.0075,0,0,0,0
-0.010575,-0.01075,-0.01075,0,0.0075,0,0,0,0
-0.010075,-0.01025,-0.01025,0,0.0075,0,0,0,0
-0.009575,-0.00975,-0.00975,0,0.0075,0,0,0,0
-0.009075,-0.00925,-0.00925,0,0.0075,0,0,0,0
-0.008575,-0.00875,-0.00875,0,0.0075,0,0,0,0
-0.008075,-0.00825,-0.00825,0,0.0075,0,0,0,0
-0.007575,-0.00775,-0.00775,0,0.0075,0,0,0,0
-0.007075,-0.00725,-0.00725,0,0.0075,0,0,0,0
-0.006575,-0.00675,-0.00675,0,0.0075,0,0,0,0
-0.006075,-0.00625,-0.00625,0,0.0075,0,0,0,0
-0.005575,-0.00575,-0.00575,0,0.0075,0,0,0,0
-0.005075,-0.00525,-0.00525,0,0.0075,0,0,0,0
-0.004575,-0.00475,-0.00475,0,0.0075,0,0,0,0
-0.004075,-0.00425,-0.00425,0,0.0075,0,0,0,0
-0.003575,-0.00375,-0.00375,0,0.0075,0,0,0,0
-0.003075,-0.00325,-0.00325,0,0.0075,0,0,0,0
-0.002575,-0.00275,-0.00275,0,0.0075,0,0,0,0
-0.002075,-0.00225,-0.00225,0,0.0075,0,0,0,0
-0.001575,-0.00175,-0.00175,0,0.0075,0,0,0,0
-0.001075,-0.00125,-0.00125,0,0.0075,0,0,0,0
-0.000575,-0.00075,-0.00075,0,0.0075,0,0,0,0
-7.5e-05,-0.00025,-0.00025,0,0.0075,0,0,0,0
0.000425,0.00025,0.00025,0,0.0075,0,0,0,0
0.000925,0.00075,0.00075,0,0.0075,0,0,0,0
0.001425,0.00125,0.00125,0,0.0075,0,0,0,0
0.001925,0.00175,0.00175,0,0.0075,0,0,0,0
0.002425,0.00225,0.00225,0,0.0075,0,0,0,0
0.002925,0.00275,0.00275,0,0.0075,0,0,0,0
0.003425,0.00325,0.00325,0,0.0075,0,0,0,0
0.003925,0.00375,0.00375,0,0.0075,0,0,0,0
0.004425,0.00425,0.00425,0,0.0075,0,0,0,0
0.004925,0.00475,0.00475,0,0.0075,0,0,0,0
0.005425,0.00525,0.00525,0,0.0075,0,0,0,0
0.005925,0.00575,0.00575,0,0.0075,0,0,0,0
0.006425,0.00625,0.00625,0,0.0075,0,0,0,0
0.006925,0.00675,0.00675,0,0.0075,0,0,0,0
0.007425,0.00725,0.00725,0,0.0075,0,0,0,0
0.007925,0.00775,0.00775,0,0.0075,0,0,0,0
0.008425,0.00825,0.00825,0,0.0075,0,0,0,0
0.008925,0.00875,0.00875,0,0.0075,0,0,0,0
0.009425,0.00925,0.00925,0,0.0075,0,0,0,0
0.009925,0.00975,0.00975,0,0.0075,0,0,0,0
0.010425,0.01025,0.01025,0,0.0075,0,0,0,0
0.010925,0.01075,0.01075,0,0.0075,0,0,0,0
0.011425,0.01125,0.01125,0,0.0075,0,0,0,0
0.011925,0.01175,0.01175,0,0.0075,0,0,0,0
0.012425,0.01225,0.01225,0,0.0075,0,0,0,0
0.012925,0.01275,0.01275,0,0.0075,0,0,0,0
0.013425,0.01325,0.01325,0,0.0075,0,0,0,0
0.013925,0.01375,0.01375,0,0.0075,0,0,0,0
0.014425,0.01425,0.01425,0,0.0075,0,0,0,0
0.014925,0.01475,0.01475,0,0.0075,0,0,0,0
0.015425,0.01525,0.01525,0,0.0075,0,0,0,0
0.015925,0.01575,0.01575,0,0.0075,0,0,0,0
