el_x1,el_x2,el_xc,el_y1,el_y2,el_yc,el_z1,el_z2,el_zc
-0.001,-0.00136,-0.00136,0.00592,0.00556,0.00556,0,0,0
0.0044,0.00404,0.00404,-0.00176,-0.00212,-0.00212,0,0,0
0.0028,0.00244,0.00244,0.00156,0.0012,0.0012,0,0,0
0.0046,0.00424,0.00424,-0.0036,-0.00396,-0.00396,0,0,0
0.00156,0.0012,0.0012,0.00528,0.00492,0.00492,0,0,0
0.00416,0.0038,0.0038,0.00084,0.00048,0.00048,0,0,0
0.00624,0.00588,0.00588,0.00076,0.0004,0.0004,0,0,0
0.0002,-0.00016,-0.00016,0.00056,0.0002,0.0002,0,0,0
-0.00068,-0.00104,-0.00104,-8e-05,-0.00044,-0.00044,0,0,0
-0.00348,-0.00384,-0.00384,-0.0018,-0.00216,-0.00216,0,0,0
-0.00056,-0.00092,-0.00092,-0.00176,-0.00212,-0.00212,0,0,0
-0.00444,-0.0048,-0.0048,0.00144,0.00108,0.00108,0,0,0
-0.0014,-0.00176,-0.00176,0.00156,0.0012,0.0012,0,0,0
-0.00136,-0.00172,-0.00172,-0.00208,-0.00244,-0.00244,0,0,0
0.00232,0.00196,0.00196,-0.0046,-0.00496,-0.00496,0,0,0
0.00548,0.00512,0.00512,-0.00084,-0.0012,-0.0012,0,0,0
-0.00116,-0.00152,-0.00152,0.00424,0.00388,0.00388,0,0,0
-0.00472,-0.00508,-0.00508,-0.00212,-0.00248,-0.00248,0,0,0
0.00348,0.00312,0.00312,-0.0022,-0.00256,-0.00256,0,0,0
0.00272,0.00236,0.00236,0.00276,0.0024,0.0024,0,0,0
0.00616,0.0058,0.0058,-0.00016,-0.00052,-0.00052,0,0,0
0.0056,0.00524,0.00524,-0.00216,-0.00252,-0.00252,0,0,0
-0.00024,-0.0006,-0.0006,0.00528,0.00492,0.00492,0,0,0
0.00336,0.003,0.003,0.00372,0.00336,0.00336,0,0,0
0.00244,0.00208,0.00208,-0.0028,-0.00316,-0.00316,0,0,0
-0.00532,-0.00568,-0.00568,-0.00096,-0.00132,-0.00132,0,0,0
-0.00212,-0.00248,-0.00248,-0.00332,-0.00368,-0.00368,0,0,0
-0.00424,-0.0046,-0.0046,-0.00036,-0.00072,-0.00072,0,0,0
-0.0036,-0.00396,-0.00396,-0.00328,-0.00364,-0.00364,0,0,0
0.00408,0.00372,0.00372,-0.0028,-0.00316,-0.00316,0,0,0
0.0004,4e-05,4e-05,-0.00432,-0.00468,-0.00468,0,0,0
0.0058,0.00544,0.00544,0.0016,0.00124,0.00124,0,0,0
-0.00116,-0.00152,-0.00152,0.00276,0.0024,0.0024,0,0,0
-0.00248,-0.00284,-0.00284,-0.00496,-0.00532,-0.00532,0,0,0
-0.00248,-0.00284,-0.00284,-0.00196,-0.00232,-0.00232,0,0,0
-0.00228,-0.00264,-0.00264,0.00552,0.00516,0.00516,0,0,0
0.00084,0.00048,0.00048,-0.00036,-0.00072,-0.00072,0,0,0
-0.00328,-0.00364,-0.00364,-0.001,-0.00136,-0.00136,0,0,0
0.0032,0.00284,0.00284,0.0056,0.00524,0.00524,0,0,0
0.00528,0.00492,0.00492,0.00036,0,0,0,0,0
0.004,0.00364,0.00364,0.00244,0.00208,0.00208,0,0,0
-0.00324,-0.0036,-0.0036,0.00232,0.00196,0.00196,0,0,0
-0.0004,-0.00076,-0.00076,-0.00476,-0.00512,-0.00512,0,0,0
-0.0052,-0.00556,-0.00556,0.001,0.00064,0.00064,0,0,0
-0.0014,-0.00176,-0.00176,-0.00092,-0.00128,-0.00128,0,0,0
0.0008,0.00044,0.00044,0.00444,0.00408,0.00408,0,0,0
-0.00212,-0.00248,-0.00248,0.00088,0.00052,0.00052,0,0,0
0.00148,0.00112,0.00112,0.00072,0.00036,0.00036,0,0,0
-0.0034,-0.00376,-0.00376,0.00432,0.00396,0.00396,0,0,0
0.00232,0.00196,0.00196,0.0042,0.00384,0.00384,0,0,0
4e-05,-0.00032,-0.00032,-0.00332,-0.00368,-0.00368,0,0,0
0.0032,0.00284,0.00284,-0.00392,-0.00428,-0.00428,0,0,0
-8e-05,-0.00044,-0.00044,0.0042,0.00384,0.00384,0,0,0
0.0016,0.00124,0.00124,-0.00012,-0.00048,-0.00048,0,0,0
0.0014,0.00104,0.00104,-0.00496,-0.00532,-0.00532,0,0,0
0.00416,0.0038,0.0038,0.00436,0.004,0.004,0,0,0
-0.00524,-0.0056,-0.0056,0.00012,-0.00024,-0.00024,0,0,0
0.00248,0.00212,0.00212,-0.00052,-0.00088,-0.00088,0,0,0
-0.0012,-0.00156,-0.00156,-0.00364,-0.004,-0.004,0,0,0
0.00464,0.00428,0.00428,-0.00084,-0.0012,-0.0012,0,0,0
-0.00084,-0.0012,-0.0012,-0.00288,-0.00324,-0.00324,0,0,0
0.0048,0.00444,0.00444,0.00296,0.0026,0.0026,0,0,0
0.00108,0.00072,0.00072,0.0026,0.00224,0.00224,0,0,0
0.00112,0.00076,0.00076,0.00352,0.00316,0.00316,0,0,0
-0.0046,-0.00496,-0.00496,0.00236,0.002,0.002,0,0,0
0.00268,0.00232,0.00232,-0.0014,-0.00176,-0.00176,0,0,0
0.00176,0.0014,0.0014,0.00212,0.00176,0.00176,0,0,0
0.00236,0.002,0.002,0.00568,0.00532,0.00532,0,0,0
0.0012,0.00084,0.00084,-0.00368,-0.00404,-0.00404,0,0,0
0.00088,0.00052,0.00052,-0.00164,-0.002,-0.002,0,0,0
-0.00436,-0.00472,-0.00472,0.00344,0.00308,0.00308,0,0,0
0.00572,0.00536,0.00536,0.00292,0.00256,0.00256,0,0,0
-0.00056,-0.00092,-0.00092,-0.00092,-0.00128,-0.00128,0,0,0
-0.00028,-0.00064,-0.00064,0.00312,0.00276,0.00276,0,0,0
-0.00332,-0.00368,-0.00368,0.0032,0.00284,0.00284,0,0,0
0.00112,0.00076,0.00076,-0.00268,-0.00304,-0.00304,0,0,0
-0.00288,-0.00324,-0.00324,0.00036,0,0,0,0,0
0.00484,0.00448,0.00448,0.002,0.00164,0.00164,0,0,0
-0.00016,-0.00052,-0.00052,0.0016,0.00124,0.00124,0,0,0
0.0008,0.00044,0.00044,0.00628,0.00592,0.00592,0,0,0
-0.00228,-0.00264,-0.00264,-0.00056,-0.00092,-0.00092,0,0,0
0.00304,0.00268,0.00268,0.00468,0.00432,0.00432,0,0,0
-0.00256,-0.00292,-0.00292,0.00436,0.004,0.004,0,0,0
-0.00232,-0.00268,-0.00268,0.00304,0.00268,0.00268,0,0,0
0.00356,0.0032,0.0032,-0.00096,-0.00132,-0.00132,0,0,0
0.00076,0.0004,0.0004,-0.00552,-0.00588,-0.00588,0,0,0
0.00232,0.00196,0.00196,0.00032,-4e-05,-4e-05,0,0,0
-0.00112,-0.00148,-0.00148,0.00076,0.0004,0.0004,0,0,0
0.00076,0.0004,0.0004,0.00148,0.00112,0.00112,0,0,0
0.00508,0.00472,0.00472,0.00368,0.00332,0.00332,0,0,0
0.0018,0.00144,0.00144,-0.00176,-0.00212,-0.00212,0,0,0
0.00324,0.00288,0.00288,-4e-05,-0.0004,-0.0004,0,0,0
-0.00196,-0.00232,-0.00232,-0.00412,-0.00448,-0.00448,0,0,0
0.0054,0.00504,0.00504,-0.00292,-0.00328,-0.00328,0,0,0
0.00024,-0.00012,-0.00012,0.00248,0.00212,0.00212,0,0,0
-0.00396,-0.00432,-0.00432,0.00068,0.00032,0.00032,0,0,0
-0.00304,-0.0034,-0.0034,-0.00432,-0.00468,-0.00468,0,0,0
0.00432,0.00396,0.00396,4e-05,-0.00032,-0.00032,0,0,0
-0.00152,-0.00188,-0.00188,0.00508,0.00472,0.00472,0,0,0
-0.0012,-0.00156,-0.00156,-0.00496,-0.00532,-0.00532,0,0,0
0.0018,0.00144,0.00144,-0.00092,-0.00128,-0.00128,0,0,0
0.00208,0.00172,0.00172,-0.00356,-0.00392,-0.00392,0,0,0
-0.0002,-0.00056,-0.00056,0.00628,0.00592,0.00592,0,0,0
0.00328,0.00292,0.00292,0.00084,0.00048,0.00048,0,0,0
0.0016,0.00124,0.00124,0.00612,0.00576,0.00576,0,0,0
-0.00176,-0.00212,-0.00212,0.0036,0.00324,0.00324,0,0,0
-0.00424,-0.0046,-0.0046,-0.00276,-0.00312,-0.00312,0,0,0
-0.00312,-0.00348,-0.00348,0.00148,0.00112,0.00112,0,0,0
-0.00216,-0.00252,-0.00252,0.00196,0.0016,0.0016,0,0,0
-0.00168,-0.00204,-0.00204,0.00012,-0.00024,-0.00024,0,0,0
-0.00328,-0.00364,-0.00364,0.00512,0.00476,0.00476,0,0,0
0.00028,-8e-05,-8e-05,-0.00232,-0.00268,-0.00268,0,0,0
-0.00284,-0.0032,-0.0032,-0.00288,-0.00324,-0.00324,0,0,0
-0.00424,-0.0046,-0.0046,-0.0014,-0.00176,-0.00176,0,0,0
0.00076,0.0004,0.0004,0.00528,0.00492,0.00492,0,0,0
-0.00548,-0.00584,-0.00584,0.00172,0.00136,0.00136,0,0,0
-0.00044,-0.0008,-0.0008,-0.00556,-0.00592,-0.00592,0,0,0
0.00224,0.00188,0.00188,0.0034,0.00304,0.00304,0,0,0
0.00316,0.0028,0.0028,-0.005,-0.00536,-0.00536,0,0,0
0.00512,0.00476,0.00476,0.0012,0.00084,0.00084,0,0,0
0.00324,0.00288,0.00288,-0.00304,-0.0034,-0.0034,0,0,0
0.00028,-8e-05,-8e-05,-0.001,-0.00136,-0.00136,0,0,0
0.00204,0.00168,0.00168,0.00132,0.00096,0.00096,0,0,0
0.00396,0.0036,0.0036,-0.00416,-0.00452,-0.00452,0,0,0
0.00392,0.00356,0.00356,0.00516,0.0048,0.0048,0,0,0
0.0036,0.00324,0.00324,0.00164,0.00128,0.00128,0,0,0
0.00428,0.00392,0.00392,0.00356,0.0032,0.0032,0,0,0
0.00204,0.00168,0.00168,-0.00544,-0.0058,-0.0058,0,0,0
