el_x1,el_x2,el_xc,el_y1,el_y2,el_yc,el_z1,el_z2,el_zc
-0.013255,-0.013335,-0.013335,0,0.0025,0,0,0,0
-0.013045,-0.013125,-0.013125,0,0.0025,0,0,0,0
-0.012835,-0.012915,-0.012915,0,0.0025,0,0,0,0
-0.012625,-0.012705,-0.012705,0,0.0025,0,0,0,0
-0.012415,-0.012495,-0.012495,0,0.0025,0,0,0,0
-0.012205,-0.012285,-0.012285,0,0.0025,0,0,0,0
-0.011995,-0.012075,-0.012075,0,0.0025,0,0,0,0
-0.011785,-0.011865,-0.011865,0,0.0025,0,0,0,0
-0.011575,-0.011655,-0.011655,0,0.0025,0,0,0,0
-0.011365,-0.011445,-0.011445,0,0.0025,0,0,0,0
-0.011155,-0.011235,-0.011235,0,0.0025,0,0,0,0
-0.010945,-0.011025,-0.011025,0,0.0025,0,0,0,0
-0.010735,-0.010815,-0.010815,0,0.0025,0,0,0,0
-0.010525,-0.010605,-0.010605,0,0.0025,0,0,0,0
-0.010315,-0.010395,-0.010395,0,0.0025,0,0,0,0
-0.010105,-0.010185,-0.010185,0,0.0025,0,0,0,0
-0.009895,-0.009975,-0.009975,0,0.0025,0,0,0,0
-0.009685,-0.009765,-0.009765,0,0.0025,0,0,0,0
-0.009475,-0.009555,-0.009555,0,0.0025,0,0,0,0
-0.009265,-0.009345,-0.009345,0,0.0025,0,0,0,0
-0.009055,-0.009135,-0.009135,0,0.0025,0,0,0,0
-0.008845,-0.008925,-0.008925,0,0.0025,0,0,0,0
-0.008635,-0.008715,-0.008715,0,0.0025,0,0,0,0
-0.008425,-0.008505,-0.008505,0,0.0025,0,0,0,0
-0.008215,-0.008295,-0.008295,0,0.0025,0,0,0,0
-0.008005,-0.008085,-0.008085,0,0.0025,0,0,0,0
-0.007795,-0.007875,-0.007875,0,0.0025,0,0,0,0
-0.007585,-0.007665,-0.007665,0,0.0025,0,0,0,0
-0.007375,-0.007455,-0.007455,0,0.0025,0,0,0,0
-0.007165,-0.007245,-0.007245,0,0.0025,0,0,0,0
-0.006955,-0.007035,-0.007035,0,0.0025,0,0,0,0
-0.006745,-0.006825,-0.006825,0,0.0025,0,0,0,0
-0.006535,-0.006615,-0.006615,0,0.0025,0,0,0,0
-0.006325,-0.006405,-0.006405,0,0.0025,0,0,0,0
-0.006115,-0.006195,-0.006195,0,0.0025,0,0,0,0
-0.005905,-0.005985,-0.005985,0,0.0025,0,0,0,0
-0.005695,-0.005775,-0.005775,0,0.0025,0,0,0,0
-0.005485,-0.005565,-0.005565,0,0.0025,0,0,0,0
-0.005275,-0.005355,-0.005355,0,0.0025,0,0,0,0
-0.005065,-0.005145,-0.005145,0,0.0025,0,0,0,0
-0.004855,-0.004935,-0.004935,0,0.0025,0,0,0,0
-0.004645,-0.004725,-0.004725,0,0.0025,0,0,0,0
-0.004435,-0.004515,-0.004515,0,0.0025,0,0,0,0
-0.004225,-0.004305,-0.004305,0,0.0025,0,0,0,0
-0.004015,-0.004095,-0.004095,0,0.0025,0,0,0,0
-0.003805,-0.003885,-0.003885,0,0.0025,0,0,0,0
-0.003595,-0.003675,-0.003675,0,0.0025,0,0,0,0
-0.003385,-0.003465,-0.003465,0,0.0025,0,0,0,0
-0.003175,-0.003255,-0.003255,0,0.0025,0,0,0,0
-0.002965,-0.003045,-0.003045,0,0.0025,0,0,0,0
-0.002755,-0.002835,-0.002835,0,0.0025,0,0,0,0
-0.002545,-0.002625,-0.002625,0,0.0025,0,0,0,0
-0.002335,-0.002415,-0.002415,0,0.0025,0,0,0,0
-0.002125,-0.002205,-0.002205,0,0.0025,0,0,0,0
-0.001915,-0.001995,-0.001995,0,0.0025,0,0,0,0
-0.001705,-0.001785,-0.001785,0,0.0025,0,0,0,0
-0.001495,-0.001575,-0.001575,0,0.0025,0,0,0,0
-0.001285,-0.001365,-0.001365,0,0.0025,0,0,0,0
-0.001075,-0.001155,-0.001155,0,0.0025,0,0,0,0
-0.000865,-0.000945,-0.000945,0,0.0025,0,0,0,0
-0.000655,-0.000735,-0.000735,0,0.0025,0,0,0,0
-0.000445,-0.000525,-0.000525,0,0.0025,0,0,0,0
-0.000235,-0.000315,-0.000315,0,0.0025,0,0,0,0
-2.5e-05,-0.000105,-0.000105,0,0.0025,0,0,0,0
0.000185,0.000105,0.000105,0,0.0025,0,0,0,0
0.000395,0.000315,0.000315,0,0.0025,0,0,0,0
0.000605,0.000525,0.000525,0,0.0025,0,0,0,0
0.000815,0.000735,0.000735,0,0.0025,0,0,0,0
0.001025,0.000945,0.000945,0,0.0025,0,0,0,0
0.001235,0.001155,0.001155,0,0.0025,0,0,0,0
0.001445,0.001365,0.001365,0,0.0025,0,0,0,0
0.001655,0.001575,0.001575,0,0.0025,0,0,0,0
0.001865,0.001785,0.001785,0,0.0025,0,0,0,0
0.002075,0.001995,0.001995,0,0.0025,0,0,0,0
0.002285,0.002205,0.002205,0,0.0025,0,0,0,0
0.002495,0.002415,0.002415,0,0.0025,0,0,0,0
0.002705,0.002625,0.002625,0,0.0025,0,0,0,0
0.002915,0.002835,0.002835,0,0.0025,0,0,0,0
0.003125,0.003045,0.003045,0,0.0025,0,0,0,0
0.003335,0.003255,0.003255,0,0.0025,0,0,0,0
0.003545,0.003465,0.003465,0,0.0025,0,0,0,0
