el_x1,el_x2,el_xc,el_y1,el_y2,el_yc,el_z1,el_z2,el_zc
-0.0034,-0.00255,-0.0034,0.01475,0.0139,0.0139,0,0,0
0.0101,0.01095,0.0101,-0.00445,-0.0053,-0.0053,0,0,0
0.0061,0.00695,0.0061,0.00385,0.003,0.003,0,0,0
0.0106,0.01145,0.0106,-0.00905,-0.0099,-0.0099,0,0,0
0.003,0.00385,0.003,0.01315,0.0123,0.0123,0,0,0
0.0095,0.01035,0.0095,0.00205,0.0012,0.0012,0,0,0
0.0147,0.01555,0.0147,0.00185,0.001,0.001,0,0,0
-0.0004,0.00045,-0.0004,0.00135,0.0005,0.0005,0,0,0
-0.0026,-0.00175,-0.0026,-0.00025,-0.0011,-0.0011,0,0,0
-0.0096,-0.00875,-0.0096,-0.00455,-0.0054,-0.0054,0,0,0
-0.0023,-0.00145,-0.0023,-0.00445,-0.0053,-0.0053,0,0,0
-0.012,-0.01115,-0.012,0.00355,0.0027,0.0027,0,0,0
-0.0044,-0.00355,-0.0044,0.00385,0.003,0.003,0,0,0
-0.0043,-0.00345,-0.0043,-0.00525,-0.0061,-0.0061,0,0,0
0.0049,0.00575,0.0049,-0.01155,-0.0124,-0.0124,0,0,0
0.0128,0.01365,0.0128,-0.00215,-0.003,-0.003,0,0,0
-0.0038,-0.00295,-0.0038,0.01055,0.0097,0.0097,0,0,0
-0.0127,-0.01185,-0.0127,-0.00535,-0.0062,-0.0062,0,0,0
0.0078,0.00865,0.0078,-0.00555,-0.0064,-0.0064,0,0,0
0.0059,0.00675,0.0059,0.00685,0.006,0.006,0,0,0
0.0145,0.01535,0.0145,-0.00045,-0.0013,-0.0013,0,0,0
0.0131,0.01395,0.0131,-0.00545,-0.0063,-0.0063,0,0,0
-0.0015,-0.00065,-0.0015,0.01315,0.0123,0.0123,0,0,0
0.0075,0.00835,0.0075,0.00925,0.0084,0.0084,0,0,0
0.0052,0.00605,0.0052,-0.00705,-0.0079,-0.0079,0,0,0
-0.0142,-0.01335,-0.0142,-0.00245,-0.0033,-0.0033,0,0,0
-0.0062,-0.00535,-0.0062,-0.00835,-0.0092,-0.0092,0,0,0
-0.0115,-0.01065,-0.0115,-0.00095,-0.0018,-0.0018,0,0,0
-0.0099,-0.00905,-0.0099,-0.00825,-0.0091,-0.0091,0,0,0
0.0093,0.01015,0.0093,-0.00705,-0.0079,-0.0079,0,0,0
0.0001,0.00095,0.0001,-0.01085,-0.0117,-0.0117,0,0,0
0.0136,0.01445,0.0136,0.00395,0.0031,0.0031,0,0,0
-0.0038,-0.00295,-0.0038,0.00685,0.006,0.006,0,0,0
-0.0071,-0.00625,-0.0071,-0.01245,-0.0133,-0.0133,0,0,0
-0.0071,-0.00625,-0.0071,-0.00495,-0.0058,-0.0058,0,0,0
-0.0066,-0.00575,-0.0066,0.01375,0.0129,0.0129,0,0,0
0.0012,0.00205,0.0012,-0.00095,-0.0018,-0.0018,0,0,0
-0.0091,-0.00825,-0.0091,-0.00255,-0.0034,-0.0034,0,0,0
0.0071,0.00795,0.0071,0.01395,0.0131,0.0131,0,0,0
0.0123,0.01315,0.0123,0.00085,0,0,0,0,0
0.0091,0.00995,0.0091,0.00605,0.0052,0.0052,0,0,0
-0.009,-0.00815,-0.009,0.00575,0.0049,0.0049,0,0,0
-0.0019,-0.00105,-0.0019,-0.01195,-0.0128,-0.0128,0,0,0
-0.0139,-0.01305,-0.0139,0.00245,0.0016,0.0016,0,0,0
-0.0044,-0.00355,-0.0044,-0.00235,-0.0032,-0.0032,0,0,0
0.0011,0.00195,0.0011,0.01105,0.0102,0.0102,0,0,0
-0.0062,-0.00535,-0.0062,0.00215,0.0013,0.0013,0,0,0
0.0028,0.00365,0.0028,0.00175,0.0009,0.0009,0,0,0
-0.0094,-0.00855,-0.0094,0.01075,0.0099,0.0099,0,0,0
0.0049,0.00575,0.0049,0.01045,0.0096,0.0096,0,0,0
-0.0008,5e-05,-0.0008,-0.00835,-0.0092,-0.0092,0,0,0
0.0071,0.00795,0.0071,-0.00985,-0.0107,-0.0107,0,0,0
-0.0011,-0.00025,-0.0011,0.01045,0.0096,0.0096,0,0,0
0.0031,0.00395,0.0031,-0.00035,-0.0012,-0.0012,0,0,0
0.0026,0.00345,0.0026,-0.01245,-0.0133,-0.0133,0,0,0
0.0095,0.01035,0.0095,0.01085,0.01,0.01,0,0,0
-0.014,-0.01315,-0.014,0.00025,-0.0006,-0.0006,0,0,0
0.0053,0.00615,0.0053,-0.00135,-0.0022,-0.0022,0,0,0
-0.0039,-0.00305,-0.0039,-0.00915,-0.01,-0.01,0,0,0
0.0107,0.01155,0.0107,-0.00215,-0.003,-0.003,0,0,0
-0.003,-0.00215,-0.003,-0.00725,-0.0081,-0.0081,0,0,0
0.0111,0.01195,0.0111,0.00735,0.0065,0.0065,0,0,0
0.0018,0.00265,0.0018,0.00645,0.0056,0.0056,0,0,0
0.0019,0.00275,0.0019,0.00875,0.0079,0.0079,0,0,0
-0.0124,-0.01155,-0.0124,0.00585,0.005,0.005,0,0,0
0.0058,0.00665,0.0058,-0.00355,-0.0044,-0.0044,0,0,0
0.0035,0.00435,0.0035,0.00525,0.0044,0.0044,0,0,0
