shift,pair_00,pair_01,pair_02
-180,217.79091328382492,216.98319792747498,218.8165379166603
-179,217.72446763515472,216.9076276421547,218.8051260113716
-178,217.6610283255577,216.83857464790344,218.79010289907455
-177,217.60306239128113,216.77520388364792,218.768208861351
-176,217.55229490995407,216.71427202224731,218.73686999082565
-175,217.51180744171143,216.65251564979553,218.69612604379654
-174,217.48520934581757,216.58553355932236,218.64476662874222
-173,217.47354525327682,216.5113673210144,218.58209615945816
-172,217.47528725862503,216.42922788858414,218.50909113883972
-171,217.4873769879341,216.34093570709229,218.42761272192
-170,217.5064646601677,216.24880993366241,218.34024339914322
-169,217.52891606092453,216.155486702919,218.24758607149124
-168,217.55082827806473,216.06435304880142,218.14980441331863
-167,217.56841987371445,215.97861421108246,218.04766523838043
-166,217.57828968763351,215.90158319473267,217.94301146268845
-165,217.57889312505722,215.8355376124382,217.8375096321106
-164,217.5707142353058,215.78234964609146,217.73288732767105
-163,217.55428504943848,215.7434562444687,217.63186252117157
-162,217.53063505887985,215.7182098031044,217.53748190402985
-161,217.5008628964424,215.70550537109375,217.4541991353035
-160,217.4665099978447,215.70394003391266,217.38405483961105
-159,217.42956709861755,215.71191328763962,217.32722598314285
-158,217.3914544582367,215.72866708040237,217.28240835666656
-157,217.35311484336853,215.75421088933945,217.24894738197327
-156,217.3158402442932,215.7880107164383,217.22696381807327
-155,217.27986228466034,215.82981073856354,217.21646106243134
-154,217.24456012248993,215.8790603876114,217.21693629026413
-153,217.2100224494934,215.93472731113434,217.2276936173439
-152,217.1757956147194,215.9949733018875,217.24819040298462
-151,217.1411315202713,216.05780917406082,217.2776910662651
-150,217.1060973405838,216.12203419208527,217.3147679567337
-149,217.07136821746826,216.1857281923294,217.3577092885971
-148,217.03783947229385,216.24741250276566,217.40483689308167
-147,217.00711745023727,216.30656999349594,217.45439553260803
-146,216.97992861270905,216.36125695705414,217.50486081838608
-145,216.95736986398697,216.4101436138153,217.55465465784073
-144,216.94014066457748,216.45221769809723,217.603065431118
-143,216.92858505249023,216.4860593676567,217.65036875009537
-142,216.9225914478302,216.51093780994415,217.69657731056213
-141,216.92216384410858,216.52656745910645,217.741341650486
-140,216.92728680372238,216.53285616636276,217.78445607423782
-139,216.93784534931183,216.5305022597313,217.8257975578308
-138,216.95289015769958,216.5206080675125,217.86593407392502
-137,216.97120332717896,216.50461447238922,217.90483605861664
-136,216.99122923612595,216.48399716615677,217.94206184148788
-135,217.01148998737335,216.46032178401947,217.9770951271057
-134,217.03013616800308,216.43519294261932,218.00957375764847
-133,217.04583555459976,216.4106314778328,218.03894996643066
-132,217.05797338485718,216.38869678974152,218.06422448158264
-131,217.06601923704147,216.37136083841324,218.08460718393326
-130,217.06990557909012,216.36045342683792,218.09954446554184
-129,217.06961226463318,216.35756820440292,218.10863292217255
-128,217.06552600860596,216.36384332180023,218.11182343959808
-127,217.05817258358002,216.37920761108398,218.10981541872025
-126,217.04773443937302,216.40227627754211,218.10390043258667
-125,217.0352030992508,216.43135768175125,218.09568989276886
-124,217.0221797823906,216.46398389339447,218.08670854568481
-123,217.00984972715378,216.49730080366135,218.07798087596893
-122,216.99852812290192,216.52843511104584,218.0702206492424
-121,216.98908478021622,216.5543396472931,218.06397014856339
-120,216.9824811220169,216.57272511720657,218.05906105041504
-119,216.97920721769333,216.58231556415558,218.0551717877388
-118,216.9797923564911,216.58311873674393,218.051831305027
-117,216.98452788591385,216.57582640647888,218.04839354753494
-116,216.99359703063965,216.56179821491241,218.04504787921906
-115,217.00763761997223,216.5431985259056,218.0421143770218
-114,217.02738857269287,216.5226326584816,218.03952211141586
-113,217.05333930253983,216.50251042842865,218.03714936971664
-112,217.08528274297714,216.484777033329,218.03480345010757
-111,217.12209272384644,216.4703957438469,218.03306031227112
-110,217.16182959079742,216.45993667840958,218.03250539302826
-109,217.20227605104446,216.45346927642822,218.03340125083923
-108,217.24171042442322,216.45061880350113,218.03583079576492
-107,217.2791610956192,216.45144045352936,218.03915202617645
-106,217.3141387104988,216.45527523756027,218.0429694056511
-105,217.34559434652328,216.46116077899933,218.04725116491318
-104,217.37214320898056,216.46845692396164,218.05219024419785
-103,217.3926413655281,216.47628724575043,218.0579258799553
-102,217.40633445978165,216.48369932174683,218.06463253498077
-101,217.41340905427933,216.4899749159813,218.0719332098961
-100,217.4147921204567,216.4948513507843,218.07967627048492
-99,217.41125857830048,216.49808704853058,218.0880236029625
-98,217.4039365053177,216.50003963708878,218.09759718179703
-97,217.39385664463043,216.50137740373611,218.10893082618713
-96,217.38214260339737,216.50230234861374,218.1221461892128
-95,217.36997663974762,216.50301533937454,218.13755691051483
