shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12
-180,218.06581354141235,216.23047178983688,217.69846999645233,216.49459332227707,217.45218646526337,216.1465550661087,218.87822794914246,215.7994648218155,217.72864520549774,216.30191999673843,216.39191752672195,215.5681682229042,214.75615227222443
-179,218.05114251375198,216.19430893659592,217.64890962839127,216.39001327753067,217.36001241207123,216.05128628015518,218.82725602388382,215.7950149178505,217.67836660146713,216.2163195014,216.29252898693085,215.49923586845398,214.68541812896729
-178,218.0392865538597,216.1654561161995,217.5986186861992,216.29962021112442,217.26802545785904,215.95062440633774,218.77438974380493,215.78073525428772,217.62499904632568,216.15157610177994,216.19595974683762,215.44614630937576,214.62338036298752
-177,218.0298217535019,216.1401075720787,217.54946273565292,216.22863000631332,217.17813163995743,215.84710097312927,218.71921813488007,215.754259288311,217.56764578819275,216.1062330007553,216.1024888753891,215.40659147500992,214.56871217489243
-176,218.02173072099686,216.11629736423492,217.5043432712555,216.17887699604034,217.0927650332451,215.74594521522522,218.6621128320694,215.7169367671013,217.50714653730392,216.07540267705917,216.01394522190094,215.38176321983337,214.52227890491486
-175,218.01529252529144,216.0938120484352,217.46580970287323,216.14794141054153,217.01201087236404,215.65099799633026,218.60427433252335,215.6691821217537,217.4452721476555,216.0523772239685,215.93054842948914,215.36939311027527,214.48537170886993
-174,218.0103458762169,216.0710547566414,217.4347156882286,216.13161730766296,216.9373278617859,215.5641534924507,218.54772585630417,215.6137272119522,217.3836970925331,216.0309016108513,215.8534410595894,215.36794543266296,214.459090590477
-173,218.0051046013832,216.04672360420227,217.4106586575508,216.1250187754631,216.8712227344513,215.4865693449974,218.4929919242859,215.55343168973923,217.32371735572815,216.0063174366951,215.7859384417534,215.37378269433975,214.44221752882004
-172,217.99860817193985,216.02094477415085,217.39439630508423,216.12600725889206,216.8159230351448,215.41939866542816,218.44148683547974,215.49048590660095,217.2660344839096,215.97625768184662,215.73032397031784,215.38243055343628,214.43376183509827
-171,217.98960083723068,215.9927499294281,217.38399118185043,216.13225722312927,216.77203035354614,215.36161720752716,218.3936112523079,215.42732739448547,217.21173548698425,215.94181603193283,215.68657052516937,215.3903967142105,214.4311250448227
