shift,pair_00
-180,216.42223972082138
-179,216.3081058859825
-178,216.1999795436859
-177,216.09657388925552
-176,215.99867349863052
-175,215.90790569782257
-174,215.82509237527847
-173,215.75101602077484
-172,215.68710666894913
-171,215.63480484485626
-170,215.5932365655899
-169,215.56176489591599
-168,215.5380784869194
-167,215.5222617983818
-166,215.51604223251343
-165,215.5192831158638
-164,215.53345662355423
-163,215.55692821741104
-162,215.58654499053955
-161,215.61885219812393
-160,215.65115660429
-159,215.68183428049088
-158,215.7092610001564
-157,215.73256927728653
-156,215.7500935792923
-155,215.76108169555664
-154,215.76523262262344
-153,215.7622972726822
-152,215.75259751081467
-151,215.73735177516937
-150,215.71804386377335
-149,215.69623905420303
-148,215.67267268896103
-147,215.64883536100388
-146,215.62639045715332
-145,215.60670590400696
-144,215.59125810861588
-143,215.58166748285294
-142,215.57880634069443
-141,215.582739174366
-140,215.59358370304108
-139,215.61105513572693
-138,215.63449758291245
-137,215.66392928361893
-136,215.69985234737396
-135,215.7419244647026
-134,215.78920149803162
-133,215.8400515317917
-132,215.89198350906372
-131,215.9427106976509
-130,215.99048799276352
-129,216.034206032753
-128,216.07378786802292
-127,216.10936999320984
-126,216.14019656181335
-125,216.16624438762665
-124,216.18777233362198
-123,216.20470947027206
-122,216.2168482542038
-121,216.22436648607254
-120,216.22727984189987
-119,216.22567290067673
-118,216.21935373544693
-117,216.20768183469772
-116,216.1902735233307
-115,216.16699421405792
-114,216.13876032829285
-113,216.10673332214355
-112,216.0729188323021
-111,216.03949773311615
-110,216.00814366340637
-109,215.9800741672516
-108,215.95598083734512
-107,215.93597757816315
-106,215.92025166749954
-105,215.90919595956802
-104,215.9027498960495
-103,215.90052115917206
-102,215.90187728405
-101,215.90596675872803
-100,215.91183841228485
-99,215.91908955574036
-98,215.92775785923004
-97,215.93804198503494
-96,215.95024353265762
-95,215.96444392204285
-94,215.98026168346405
-93,215.99696558713913
-92,216.01424312591553
-91,216.0318222641945
-90,216.04944264888763
-89,216.06730329990387
-88,216.08552330732346
-87,216.1038231253624
-86,216.12187415361404
-85,216.13955962657928
-84,216.15700167417526
-83,216.17438077926636
-82,216.19190347194672
-81,216.2095209956169
-80,216.22712725400925
-79,216.2446692585945
-78,216.26156169176102
-77,216.27722150087357
-76,216.29140001535416
-75,216.30394679307938
-74,216.3149705529213
-73,216.32481282949448
-72,216.33423393964767
-71,216.34408462047577
-70,216.35490477085114
-69,216.36689454317093
-68,216.379827439785
-67,216.39279556274414
-66,216.40487599372864
-65,216.41484481096268
-64,216.4216701388359
-63,216.425059735775
-62,216.4253620505333
-61,216.42309135198593
-60,216.41895204782486
-59,216.41356724500656
-58,216.40733116865158
-57,216.40054684877396
-56,216.39349454641342
-55,216.38635289669037
-54,216.3790050148964
-53,216.3712279200554
-52,216.36278730630875
-51,216.3532641530037
-50,216.34187251329422
-49,216.32791805267334
-48,216.31117802858353
-47,216.29139757156372
-46,216.26868051290512
-45,216.24352490901947
-44,216.2166250348091
-43,216.1889575123787
-42,216.16131764650345
-41,216.13428163528442
-40,216.1081862449646
-39,216.0836706161499
-38,216.0612496137619
-37,216.04120725393295
-36,216.0236496925354
-35,216.0086185336113
-34,215.99606508016586
-33,215.9859186410904
-32,215.9780964255333
-31,215.97251266241074
-30,215.96923476457596
-29,215.9684261083603
-28,215.97016441822052
-27,215.97445333003998
-26,215.98143380880356
-25,215.99123167991638
-24,216.00362622737885
-23,216.01842945814133
-22,216.0354043841362
-21,216.05393821001053
-20,216.0732279419899
-19,216.09255820512772
-18,216.11076605319977
-17,216.1267111301422
-16,216.13929224014282
-15,216.14781922101974
-14,216.1518293619156
-13,216.15133953094482
-12,216.14633494615555
-11,216.13731348514557
-10,216.12482714653015
-9,216.10951524972916
-8,216.09226858615875
-7,216.0740343928337
-6,216.05598217248917
-5,216.03929018974304
-4,216.0250643491745
-3,216.01400929689407
-2,216.00641936063766
-1,216.00223630666733
0,216.00113213062286
1,216.01076006889343
2,216.02235692739487
3,216.03489083051682
4,216.04712909460068
5,216.0578007698059
6,216.0657941699028
7,216.07029408216476
8,216.07113498449326
9,216.06882536411285
10,216.06438899040222
11,216.05910217761993
12,216.05430775880814
13,216.0514057278633
14,216.05153065919876
15,216.05535238981247
16,216.0627788901329
17,216.0733260512352
18,216.08613735437393
19,216.10004806518555
20,216.11365181207657
21,216.1256513595581
22,216.13503217697144
23,216.14132487773895
24,216.14458161592484
25,216.14560043811798
26,216.14581614732742
27,216.14708614349365
28,216.15165907144547
29,216.16217976808548
30,216.18138551712036
31,216.2119950056076
32,216.25700688362122
33,216.31925493478775
34,216.4014149904251
35,216.5057953596115
36,216.63394737243652
37,216.78674709796906
38,216.96487647294998
39,217.16837924718857
40,217.39559453725815
41,217.643321454525
42,217.90699344873428
43,218.18041211366653
44,218.4558355808258
45,218.72402119636536
46,218.97519439458847
47,219.19954305887222
48,219.38756674528122
49,219.53065299987793
50,219.6218146085739
51,219.65648847818375
52,219.63316971063614
53,219.55344581604004
54,219.4216991662979
55,219.24457103013992
56,219.0301707983017
57,218.78742456436157
58,218.52578347921371
59,218.2540420293808
60,217.98039036989212
61,217.71231293678284
62,217.456529378891
63,217.2184800505638
64,217.0021703839302
65,216.8103718161583
66,216.644373357296
67,216.5043989419937
68,216.3896894454956
69,216.29840207099915
70,216.22801542282104
71,216.1751953959465
72,216.13619130849838
73,216.10722333192825
74,216.08517915010452
75,216.06700587272644
76,216.04993057250977
77,216.03205478191376
78,216.01198416948318
79,215.98886317014694
80,215.96273416280746
81,215.9341053366661
82,215.9034908413887
83,215.87141400575638
84,215.8392019867897
85,215.80848169326782
86,215.78025537729263
87,215.75530260801315
88,215.7338473200798
89,215.71573120355606
90,215.70075583457947
91,215.68861532211304
92,215.67930912971497
93,215.6730117201805
94,215.6694893836975
95,215.66827601194382
96,215.66909408569336
97,215.67148172855377
98,215.67531728744507
99,215.68073773384094
100,215.68778312206268
101,215.6961812376976
102,215.7056200504303
103,215.71588557958603
104,215.72680580615997
105,215.73762768507004
106,215.7480784058571
107,215.75849968194962
108,215.76867401599884
109,215.77782863378525
110,215.78597193956375
111,215.7935636639595
112,215.80118268728256
113,215.80985808372498
114,215.82043516635895
115,215.83344334363937
116,215.84889388084412
117,215.86691266298294
118,215.8872822523117
119,215.90938538312912
120,215.93243461847305
121,215.9553958773613
122,215.97711598873138
123,215.996348798275
124,216.01129060983658
125,216.02065485715866
126,216.0233803987503
127,216.01881861686707
128,216.0067121386528
129,215.98723489046097
130,215.96131831407547
131,215.93047529459
132,215.8964112997055
133,215.86091190576553
134,215.82537245750427
135,215.79119729995728
136,215.75900346040726
137,215.72935223579407
138,215.7022979259491
139,215.67816138267517
140,215.6567730307579
141,215.63809955120087
142,215.6221947669983
143,215.60906046628952
144,215.5983971953392
145,215.58909630775452
146,215.58086836338043
147,215.57338309288025
148,215.5659590959549
149,215.55848014354706
150,215.55172884464264
151,215.54680866003036
152,215.5453028678894
153,215.54875141382217
154,215.55785310268402
155,215.572671353817
156,215.59097975492477
157,215.61018532514572
158,215.6284891963005
159,215.64433240890503
160,215.65573209524155
161,215.6624475121498
162,215.66593688726425
163,215.66792058944702
164,215.66929811239243
165,215.67111814022064
166,215.6739922761917
167,215.67921710014343
168,215.68767076730728
169,215.7011203765869
170,215.72135829925537
171,215.74947094917297
172,215.78634017705917
173,215.8322337269783
174,215.88686096668243
175,215.94896030426025
176,216.01722544431686
177,216.09011262655258
178,216.16492134332657
179,216.23878353834152
180,216.31126165390015
