shift,pair_00
-180,217.1681604385376
-179,217.12872010469437
-178,217.0858747959137
-177,217.03922313451767
-176,216.9904665350914
-175,216.94053149223328
-174,216.89175111055374
-173,216.84688413143158
-172,216.80743831396103
-171,216.77470844984055
-170,216.74786794185638
-169,216.72482043504715
-168,216.70374059677124
-167,216.68380892276764
-166,216.66489100456238
-165,216.64758241176605
-164,216.63173913955688
-163,216.6178354024887
-162,216.60663145780563
-161,216.59850978851318
-160,216.59225684404373
-159,216.58573645353317
-158,216.5769580602646
-157,216.5662716627121
-156,216.55437695980072
-155,216.5426545739174
-154,216.53199833631516
-153,216.52130579948425
-152,216.50932836532593
-151,216.49609273672104
-150,216.4814891219139
-149,216.466635286808
-148,216.45264101028442
-147,216.44016075134277
-146,216.42918026447296
-145,216.42003631591797
-144,216.41321867704391
-143,216.41052812337875
-142,216.41249710321426
-141,216.41860854625702
-140,216.42813497781754
-139,216.44054836034775
-138,216.45541006326675
-137,216.471905708313
-136,216.4892616868019
-135,216.50708109140396
-134,216.52515369653702
-133,216.54335325956345
-132,216.56066143512726
-131,216.57693767547607
-130,216.5935407280922
-129,216.61082804203033
-128,216.62815654277802
-127,216.64463526010513
-126,216.65918880701065
-125,216.67058008909225
-124,216.67831885814667
-123,216.68232023715973
-122,216.68319821357727
-121,216.6815458536148
-120,216.6775690317154
-119,216.6720215678215
-118,216.66538333892822
-117,216.6577793955803
-116,216.6494877934456
-115,216.6407392024994
-114,216.63156658411026
-113,216.62163531780243
-112,216.61133754253387
-111,216.6014587879181
-110,216.5931224822998
-109,216.58694100379944
-108,216.58367174863815
-107,216.5841326713562
-106,216.58851182460785
-105,216.59666395187378
-104,216.60845178365707
-103,216.62429869174957
-102,216.64401936531067
-101,216.66656428575516
-100,216.6905038356781
-99,216.7148752808571
-98,216.73860222101212
-97,216.7603372335434
-96,216.77947849035263
-95,216.79581862688065
-94,216.80911099910736
-93,216.81928879022598
-92,216.82675731182098
-91,216.8323495388031
-90,216.83612954616547
-89,216.83778524398804
-88,216.83698570728302
-87,216.83351075649261
-86,216.82782119512558
-85,216.82115632295609
-84,216.81447678804398
-83,216.80846375226974
-82,216.80347627401352
-81,216.7998430132866
-80,216.7982370853424
-79,216.79923272132874
-78,216.8031867146492
-77,216.80986148118973
-76,216.81868648529053
-75,216.82921117544174
-74,216.84058594703674
-73,216.85171121358871
-72,216.8617575764656
-71,216.87004041671753
-70,216.87654435634613
-69,216.88155966997147
-68,216.88592606782913
-67,216.8904733657837
-66,216.89604461193085
-65,216.90351754426956
-64,216.91340690851212
-63,216.92599642276764
-62,216.94141030311584
-61,216.9597988128662
-60,216.9809451699257
-59,217.0039860010147
-58,217.02766728401184
-57,217.0506870150566
-56,217.07215136289597
-55,217.0920816063881
-54,217.11091309785843
-53,217.1289593577385
-52,217.1468334197998
-51,217.1650477051735
-50,217.18404930830002
-49,217.20397663116455
-48,217.22465014457703
-47,217.24575930833817
-46,217.2666449546814
-45,217.28660207986832
-44,217.30507570505142
-43,217.32150971889496
-42,217.335304915905
-41,217.34577536582947
-40,217.35236674547195
-39,217.35461056232452
-38,217.3522756099701
-37,217.3456956744194
-36,217.3352029323578
-35,217.3214766383171
-34,217.30507844686508
-33,217.28677064180374
-32,217.26746606826782
-31,217.24814170598984
-30,217.22983914613724
-29,217.2133987545967
-28,217.19936126470566
-27,217.18799996376038
-26,217.17951226234436
-25,217.17386507987976
-24,217.17097061872482
-23,217.1705465912819
-22,217.17243772745132
-21,217.17602062225342
-20,217.18036818504333
-19,217.18458211421967
-18,217.18802326917648
-17,217.19031232595444
-16,217.1911997795105
-15,217.19056355953217
-14,217.18836385011673
-13,217.18477141857147
-12,217.18009984493256
-11,217.17513746023178
-10,217.17070943117142
-9,217.1674752831459
-8,217.16583865880966
-7,217.16593235731125
-6,217.1675420999527
-5,217.1702048778534
-4,217.17315691709518
-3,217.1754052042961
-2,217.17594569921494
-1,217.17370474338531
0,217.16777741909027
1,217.18501538038254
2,217.19733583927155
3,217.2048226594925
4,217.20784759521484
5,217.20694559812546
6,217.20266616344452
7,217.19544810056686
8,217.18573915958405
9,217.17405527830124
10,217.16105324029922
11,217.14763021469116
12,217.13487219810486
13,217.1238261461258
14,217.11515754461288
15,217.10914534330368
16,217.1059958934784
17,217.10555291175842
18,217.1076175570488
19,217.1120473742485
20,217.11868357658386
21,217.12760549783707
22,217.13896775245667
23,217.15274780988693
24,217.16869753599167
25,217.1861274242401
26,217.20421987771988
27,217.22206246852875
28,217.23867923021317
29,217.2532833814621
30,217.26540541648865
31,217.27486312389374
32,217.28158378601074
33,217.28544545173645
34,217.28665792942047
35,217.2853568792343
36,217.28168153762817
37,217.27568888664246
38,217.2672136425972
39,217.25607693195343
40,217.24198281764984
41,217.22487556934357
42,217.20486825704575
43,217.18218821287155
44,217.15689098834991
45,217.1293289065361
46,217.10008025169373
47,217.06992280483246
48,217.0399067401886
49,217.01106840372086
50,216.984545648098
51,216.96122348308563
52,216.9418106675148
53,216.92664295434952
54,216.91605752706528
55,216.91028690338135
56,216.9092559814453
57,216.91201150417328
58,216.91777747869492
59,216.92609822750092
60,216.93650770187378
61,216.94876670837402
62,216.96257901191711
63,216.97778922319412
64,216.9942747950554
65,217.01189744472504
66,217.0301896929741
67,217.04868572950363
68,217.0669664144516
69,217.08469700813293
70,217.10171139240265
71,217.11841958761215
72,217.13572120666504
73,217.15493673086166
74,217.1772176027298
75,217.20354956388474
76,217.23518645763397
77,217.27351343631744
78,217.31940579414368
79,217.372971534729
80,217.43385088443756
81,217.50063562393188
82,217.57119488716125
83,217.64335799217224
84,217.71484369039536
85,217.78299814462662
86,217.84420520067215
87,217.89477759599686
88,217.93128788471222
89,217.9514827132225
90,217.9538562297821
91,217.93796664476395
92,217.90426123142242
93,217.8537169098854
94,217.7881578207016
95,217.70963561534882
96,217.62004309892654
97,217.5218021273613
98,217.41709345579147
99,217.30832570791245
100,217.19848030805588
101,217.09000307321548
102,216.98493057489395
103,216.88571298122406
104,216.79453486204147
105,216.71315824985504
106,216.64266335964203
107,216.5835235118866
108,216.53563648462296
109,216.4987809062004
110,216.4726518392563
111,216.45641535520554
112,216.44881612062454
113,216.44871079921722
114,216.4549663066864
115,216.46577805280685
116,216.47906917333603
117,216.49284315109253
118,216.50575464963913
119,216.5165529847145
120,216.5237881541252
121,216.52656370401382
122,216.52454507350922
123,216.51809966564178
124,216.5079824924469
125,216.49550849199295
126,216.48255318403244
127,216.4710202217102
128,216.46298867464066
129,216.4602536559105
130,216.46385663747787
131,216.47422295808792
132,216.49040281772614
133,216.5112098455429
134,216.53580164909363
135,216.56267940998077
136,216.5903207063675
137,216.61722964048386
138,216.6419523358345
139,216.66364538669586
140,216.68215984106064
141,216.69772458076477
142,216.71094089746475
143,216.72200858592987
144,216.73061126470566
145,216.7342020869255
146,216.7322193980217
147,216.72473061084747
148,216.71209436655045
149,216.6954766511917
150,216.6764172911644
151,216.65700936317444
152,216.63859105110168
153,216.62209922075272
154,216.60792565345764
155,216.59631502628326
156,216.58755964040756
157,216.58161234855652
158,216.57863813638687
159,216.57870012521744
160,216.58217018842697
161,216.58871150016785
162,216.5975690484047
163,216.60592198371887
164,216.6141578555107
165,216.6236174106598
166,216.63521379232407
167,216.64947414398193
168,216.66578233242035
169,216.68341088294983
170,216.69995373487473
171,216.71338039636612
172,216.7225200533867
173,216.7267672419548
174,216.72542560100555
175,216.7192976474762
176,216.7101912498474
177,216.7004845738411
178,216.68910360336304
179,216.67752295732498
180,216.66582238674164
