shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12,pair_13,pair_14
-180,217.47567230463028,217.2071077823639,217.2983889579773,217.230582177639,215.37661957740784,216.73936480283737,216.78101354837418,218.50711333751678,217.5924546122551,217.19417709112167,217.75694125890732,215.7481096982956,218.64172530174255,217.93013095855713,214.83317559957504
-179,217.35260993242264,217.14266854524612,217.25325405597687,217.16005778312683,215.32680821418762,216.62988978624344,216.76677459478378,218.42614340782166,217.49306219816208,217.1314179301262,217.68527191877365,215.71201479434967,218.61574989557266,217.84473085403442,214.79959499835968
-178,217.23737049102783,217.07281297445297,217.21379607915878,217.08571648597717,215.2847746014595,216.5234916806221,216.75145810842514,218.34185057878494,217.40361982584,217.07699072360992,217.60950368642807,215.6791034936905,218.58783400058746,217.76337891817093,214.75456076860428
-177,217.12845623493195,216.99953466653824,217.1782792210579,217.00816017389297,215.2444362640381,216.4245063662529,216.73487210273743,218.25739967823029,217.3262818455696,217.02951431274414,217.52882993221283,215.6486777663231,218.55901980400085,217.6864818930626,214.69778561592102
-176,217.0272600054741,216.92351293563843,217.14417362213135,216.92984741926193,215.20217847824097,216.3354670405388,216.71723026037216,218.1757494211197,217.26109021902084,216.98737287521362,217.4451248049736,215.62100040912628,218.52965527772903,217.615509390831,214.62805551290512
-175,216.93579077720642,216.84635823965073,217.1088936328888,216.85399901866913,215.15626341104507,216.25798851251602,216.69956463575363,218.10115653276443,217.20652186870575,216.95058113336563,217.3612161874771,215.59466189146042,218.5001997947693,217.54734295606613,214.5458925962448
-174,216.85521018505096,216.76988196372986,217.07180178165436,216.784417450428,215.10807079076767,216.19259053468704,216.6830199956894,218.03697800636292,217.1612690091133,216.91683399677277,217.2798318862915,215.5699039697647,218.4713512659073,217.47890228033066,214.45429795980453
-173,216.7846947312355,216.69687885046005,217.03390556573868,216.72320836782455,215.06086230278015,216.13990783691406,216.6694911122322,217.98556476831436,217.1245070695877,216.88535070419312,217.20112854242325,215.54623091220856,218.44277042150497,217.40848463773727,214.35532349348068
-172,216.72453427314758,216.63014018535614,216.9958137869835,216.67098373174667,215.0169231891632,216.09849935770035,216.65933066606522,217.9477937221527,217.09472489356995,216.85583448410034,217.12587571144104,215.52441000938416,218.41308295726776,217.33465373516083,214.2513953447342
-171,216.67536288499832,216.5734394788742,216.95841765403748,216.6267825961113,214.9788300395012,216.06499069929123,216.65377813577652,217.9220849275589,217.07006692886353,216.8285311460495,217.0530932545662,215.50467920303345,218.38145405054092,217.25520837306976,214.14254039525986
