overlap_fraction,overlap_percent,pair_name,expected_shift,best_shift,signed_error,abs_error,peak_corr,status
0.1,10.0,pair_00,180.0,178.0,-2.0,2.0,220.56685608625412,ok
0.1,10.0,pair_01,180.0,177.0,-3.0,3.0,219.6788485646248,ok
0.1,10.0,pair_02,180.0,178.0,-2.0,2.0,221.64240139722824,ok
0.2,20.0,pair_00,160.0,158.0,-2.0,2.0,220.40222656726837,ok
0.2,20.0,pair_01,160.0,159.0,-1.0,1.0,218.39221209287643,ok
0.2,20.0,pair_02,160.0,158.0,-2.0,2.0,218.43072843551636,ok
0.2,20.0,pair_03,160.0,158.0,-2.0,2.0,218.8874220252037,ok
0.2,20.0,pair_04,160.0,159.0,-1.0,1.0,220.0656727552414,ok
0.2,20.0,pair_05,160.0,159.0,-1.0,1.0,217.46477514505386,ok
0.2,20.0,pair_06,160.0,158.0,-2.0,2.0,218.3209474682808,ok
0.2,20.0,pair_07,160.0,158.0,-2.0,2.0,217.27566879987717,ok
0.2,20.0,pair_08,160.0,158.0,-2.0,2.0,216.10116463899612,ok
0.2,20.0,pair_09,160.0,158.0,-2.0,2.0,217.86198049783707,ok
0.2,20.0,pair_10,160.0,157.0,-3.0,3.0,218.40058487653732,ok
0.2,20.0,pair_11,160.0,158.0,-2.0,2.0,219.45738691091537,ok
0.2,20.0,pair_12,160.0,158.0,-2.0,2.0,218.71913886070251,ok
0.3,30.0,pair_00,140.0,137.0,-3.0,3.0,219.51019048690796,ok
0.3,30.0,pair_01,140.0,138.0,-2.0,2.0,217.80152463912964,ok
0.3,30.0,pair_02,140.0,137.0,-3.0,3.0,218.6788605451584,ok
0.3,30.0,pair_03,140.0,137.0,-3.0,3.0,218.37476313114166,ok
0.3,30.0,pair_04,140.0,137.0,-3.0,3.0,218.9166517853737,ok
0.3,30.0,pair_05,140.0,138.0,-2.0,2.0,216.85056728124619,ok
0.3,30.0,pair_06,140.0,138.0,-2.0,2.0,219.53285163640976,ok
0.3,30.0,pair_07,140.0,138.0,-2.0,2.0,218.58716821670532,ok
0.3,30.0,pair_08,140.0,138.0,-2.0,2.0,218.54502642154694,ok
0.3,30.0,pair_09,140.0,139.0,-1.0,1.0,217.25387597084045,ok
0.3,30.0,pair_10,140.0,139.0,-1.0,1.0,218.03041625022888,ok
0.3,30.0,pair_11,140.0,139.0,-1.0,1.0,216.83270174264908,ok
0.3,30.0,pair_12,140.0,138.0,-2.0,2.0,216.80413675308228,ok
